City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Meulaboh,ID,4.14,96.13,76.51,87,99,4.59
1,Osakarovka,KZ,50.56,72.57,30.04,94,1,2.35
2,Ushuaia,AR,-54.8,-68.3,48.2,70,75,23.04
3,Butaritari,KI,3.07,172.79,81.28,80,83,19.19
4,Buin,CL,-33.73,-70.75,84.2,20,0,6.93
5,Rikitea,PF,-23.12,-134.97,75.85,68,0,7.85
6,Taft,IR,31.75,54.21,59.0,19,0,4.7
7,Bengkulu,ID,-3.8,102.27,75.13,88,72,3.71
8,Mataura,NZ,-46.19,168.86,55.0,98,100,7.0
9,East London,ZA,-33.02,27.91,62.31,67,100,1.28
10,Nikolskoye,RU,59.7,30.79,46.99,100,90,2.24
11,Iqaluit,CA,63.75,-68.51,3.2,71,40,5.82
12,Pechora,RU,65.15,57.22,38.44,94,100,12.06
13,Batagay-Alyta,RU,67.8,130.41,3.2,93,100,1.36
14,Comodoro Rivadavia,AR,-45.87,-67.5,69.8,35,0,11.41
15,Avarua,CK,-21.21,-159.78,75.2,78,98,11.41
16,Sitka,US,57.05,-135.33,39.2,93,90,9.17
17,Chokurdakh,RU,70.63,147.92,7.05,95,100,6.82
18,Jamestown,US,42.1,-79.24,36.0,95,90,11.41
19,Ogdensburg,US,44.69,-75.49,39.2,38,1,8.05
20,Tuktoyaktuk,CA,69.45,-133.04,5.0,92,40,8.05
21,Busselton,AU,-33.65,115.33,61.0,61,0,4.07
22,Nanortalik,GL,60.14,-45.24,28.65,92,98,6.02
23,Montpelier,US,44.26,-72.58,37.99,47,1,6.93
24,Cantaura,VE,9.31,-64.36,87.91,61,46,7.61
25,Punta Arenas,CL,-53.15,-70.92,55.4,62,75,28.86
26,Carnarvon,AU,-24.87,113.63,71.6,83,90,5.82
27,Bluff,NZ,-46.6,168.33,55.0,98,100,7.0
28,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,75,8.05
29,Bethel,US,41.37,-73.41,37.4,86,90,10.29
30,Odweyne,SO,9.41,45.06,78.15,48,95,5.99
31,Egvekinot,RU,66.32,-179.17,12.96,84,47,8.28
32,Kangaatsiaq,GL,68.31,-53.46,26.29,93,100,3.2
33,Atuona,PF,-9.8,-139.03,77.63,73,100,12.28
34,Bredasdorp,ZA,-34.53,20.04,50.0,71,0,4.7
35,Albany,US,42.6,-73.97,37.0,87,74,6.04
36,Asau,RO,46.43,26.4,44.01,96,100,1.68
37,San Carlos De Bariloche,AR,-41.15,-71.31,75.2,10,0,10.29
38,Thompson,CA,55.74,-97.86,21.2,62,75,4.7
39,Kant,IN,27.8,79.8,69.28,38,0,5.46
40,Kavaratti,IN,10.57,72.64,82.15,76,80,9.91
41,Norman Wells,CA,65.28,-126.83,12.2,92,75,2.24
42,Beian,NO,63.66,9.57,46.0,81,75,18.34
43,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,20.8
44,Hermanus,ZA,-34.42,19.23,48.99,83,0,11.41
45,Port Elizabeth,ZA,-33.92,25.57,50.0,81,0,5.82
46,Rognan,NO,67.1,15.39,39.2,55,0,27.51
47,Tecoanapa,MX,16.52,-98.75,85.8,61,2,8.63
48,Port Blair,IN,11.67,92.75,80.44,83,100,12.1
49,Vaini,TO,-21.2,-175.2,71.6,83,75,11.41
50,Kaeo,NZ,-35.1,173.78,64.99,97,53,7.0
51,Quepos,CR,9.42,-84.17,78.8,65,40,8.05
52,Namtsy,RU,62.72,129.67,-22.0,74,20,2.24
53,Touros,BR,-5.2,-35.46,84.2,66,20,16.11
54,Kodiak,US,57.79,-152.41,33.8,69,90,10.29
55,Syracuse,IT,37.09,15.28,68.0,77,40,3.36
56,Matsuura,JP,33.33,129.72,57.99,25,9,7.0
57,Esna,EG,25.29,32.55,82.4,34,0,8.03
58,Faanui,PF,-16.48,-151.75,79.2,78,0,12.06
59,Rio Gallegos,AR,-51.62,-69.22,64.4,34,40,26.4
60,Alice Springs,AU,-23.7,133.88,53.6,32,3,1.12
61,Abeche,TD,13.83,20.83,87.22,22,58,5.84
62,Clyde River,CA,70.47,-68.59,15.8,85,75,17.22
63,Broome,US,42.25,-75.83,41.0,64,40,12.75
64,High Level,CA,58.52,-117.14,26.6,79,90,5.82
65,Piterka,RU,50.68,47.45,47.88,53,100,9.71
66,Tolaga Bay,NZ,-38.37,178.3,61.07,78,100,4.83
67,Saint-Pierre,RE,-21.34,55.48,68.0,60,0,10.29
68,Ornes,NO,66.87,13.71,39.2,55,0,27.51
69,Magnor,SE,59.95,12.2,44.01,100,96,2.24
70,Songjianghe,CN,42.19,127.48,31.73,84,95,5.88
71,Santa Helena De Goias,BR,-17.81,-50.6,82.8,58,91,3.76
72,Kokoda,PG,-8.88,147.74,74.32,71,100,0.92
73,Kapaa,US,22.08,-159.32,80.01,73,20,5.82
74,Coari,BR,-4.08,-63.14,91.74,54,73,0.94
75,Barrow,US,71.29,-156.79,21.2,85,90,13.87
76,Lebu,CL,-37.62,-73.65,58.39,69,0,12.55
77,Rockford,US,42.27,-89.09,44.6,36,1,8.05
78,Solvychegodsk,RU,61.33,46.92,37.56,81,100,9.62
79,New Norfolk,AU,-42.78,147.06,45.0,75,1,2.62
80,Khatanga,RU,71.97,102.5,-9.08,84,0,6.42
81,Tautira,PF,-17.73,-149.15,82.4,74,75,11.41
82,Kahului,US,20.89,-156.47,78.8,74,40,14.99
83,Maralal,KE,1.1,36.7,59.52,91,34,8.99
84,Hasaki,JP,35.73,140.83,41.0,86,0,3.36
85,Port Alfred,ZA,-33.59,26.89,58.98,63,66,1.77
86,Terme,TR,41.21,36.97,62.6,82,75,3.4
87,Hobart,AU,-42.88,147.33,46.99,93,20,4.7
88,Muravlenko,RU,63.79,74.52,32.11,99,100,9.1
89,Tasiilaq,GL,65.61,-37.64,33.8,86,75,4.7
90,Cherskiy,RU,68.75,161.3,4.82,91,100,5.26
91,Babol,IR,36.55,52.68,59.0,87,0,4.7
92,Vila Velha,BR,-20.33,-40.29,78.8,83,40,19.46
93,Vao,NC,-22.67,167.48,73.31,87,1,14.14
94,Cockburn Town,TC,21.46,-71.14,86.0,70,75,13.87
95,Viedma,AR,-40.81,-63.0,80.01,17,0,7.0
96,Cap Malheureux,MU,-19.98,57.61,66.99,59,0,5.01
97,Te Anau,NZ,-45.42,167.72,53.49,93,100,0.16
98,Northam,GB,51.03,-4.22,57.99,99,100,8.01
99,Vrangel,RU,42.73,133.08,43.84,73,0,2.71
100,Portland,US,45.52,-122.68,57.0,93,75,1.52
101,Airai,TL,-8.93,125.41,59.67,93,11,2.21
102,Bubaque,GW,11.28,-15.83,84.9,69,85,9.31
103,Kaitangata,NZ,-46.28,169.85,57.99,96,100,5.99
104,Saskylakh,RU,71.92,114.08,-1.98,84,0,6.11
105,Lucea,JM,18.45,-78.17,87.01,74,20,14.99
106,Cayenne,GF,4.93,-52.33,87.8,66,40,11.41
107,Saint-Philippe,RE,-21.36,55.77,68.0,60,29,10.29
108,Karaton,ID,-6.34,106.1,81.0,78,20,5.82
109,Hithadhoo,MV,-0.6,73.08,82.94,76,83,9.98
110,Lata,PT,40.16,-8.33,61.0,82,0,1.12
111,Caravelas,BR,-17.71,-39.25,78.87,72,98,10.09
112,Tiarei,PF,-17.53,-149.33,82.4,74,75,11.41
113,Markova,UA,48.68,24.41,39.92,80,80,4.52
114,San Patricio,US,28.02,-97.52,72.0,40,20,9.17
115,Gobabis,NA,-22.45,18.97,74.95,47,93,10.89
116,Ulaangom,MN,49.98,92.07,23.63,92,20,2.13
117,Ferrol,ES,43.48,-8.24,60.8,82,20,9.17
118,Hilo,US,19.73,-155.09,82.4,74,20,4.7
119,Udalguri,IN,26.77,92.13,70.41,60,0,4.5
120,Am Timan,TD,11.03,20.28,81.75,39,0,0.47
121,Kinsale,IE,51.71,-8.53,52.0,93,75,14.99
122,Pemangkat,ID,1.17,108.97,77.61,90,100,7.27
123,Magaria,NE,13.0,8.91,83.73,20,0,8.25
124,San Francisco,US,37.77,-122.42,68.0,72,20,4.7
125,Beringovskiy,RU,63.05,179.32,25.02,83,24,9.55
