City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Meulaboh,ID,76.51,4.14,96.13,Kost Pria
3,Butaritari,KI,81.28,3.07,172.79,Isles Sunset Lodge
4,Buin,CL,84.2,-33.73,-70.75,Paihuen
5,Rikitea,PF,75.85,-23.12,-134.97,Pension Maro'i
6,Taft,IR,59.0,31.75,54.21,بوم گردی حاجی زینل تفت
7,Bengkulu,ID,75.13,-3.8,102.27,Grage Hotel Bengkulu
8,Mataura,NZ,55.0,-46.19,168.86,Ellie's Villa
9,East London,ZA,62.31,-33.02,27.91,Tu Casa
14,Comodoro Rivadavia,AR,69.8,-45.87,-67.5,Austral Hotel
15,Avarua,CK,75.2,-21.21,-159.78,Paradise Inn
21,Busselton,AU,61.0,-33.65,115.33,Observatory Guest House
24,Cantaura,VE,87.91,9.31,-64.36,Hotel Lorenzana
25,Punta Arenas,CL,55.4,-53.15,-70.92,Hotel Dreams Del Estrecho
26,Carnarvon,AU,71.6,-24.87,113.63,Hospitality Carnarvon
27,Bluff,NZ,55.0,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
28,Arraial Do Cabo,BR,75.2,-22.97,-42.03,Pousada Porto Praia
30,Odweyne,SO,78.15,9.41,45.06,Eng Hiirey House
33,Atuona,PF,77.63,-9.8,-139.03,Villa Enata
34,Bredasdorp,ZA,50.0,-34.53,20.04,Bredasdorp Country Manor
37,San Carlos De Bariloche,AR,75.2,-41.15,-71.31,Hotel Patagonia
39,Kant,IN,69.28,27.8,79.8,Haseeb Khan shatreng
40,Kavaratti,IN,82.15,10.57,72.64,Hotels in Lakshadweep Islands
43,Ribeira Grande,PT,69.8,38.52,-28.7,Quinta da Meia Eira
45,Port Elizabeth,ZA,50.0,-33.92,25.57,39 On Nile Guest House
47,Tecoanapa,MX,85.8,16.52,-98.75,Hotel Manglares
48,Port Blair,IN,80.44,11.67,92.75,Fortune Resort Bay Island
49,Vaini,TO,71.6,-21.2,-175.2,Keleti Beach Resort
50,Kaeo,NZ,64.99,-35.1,173.78,Bushido Lodge
51,Quepos,CR,78.8,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
53,Touros,BR,84.2,-5.2,-35.46,INN NEW HORIZON
55,Syracuse,IT,68.0,37.09,15.28,Hotel Posta
56,Matsuura,JP,57.99,33.33,129.72,割烹旅館鶴屋
57,Esna,EG,82.4,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
58,Faanui,PF,79.2,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Rio Gallegos,AR,64.4,-51.62,-69.22,Hotel Santa Cruz
60,Alice Springs,AU,53.6,-23.7,133.88,Desert Palms Alice Springs
61,Abeche,TD,87.22,13.83,20.83,Assaleh Hamdan Haroune
66,Tolaga Bay,NZ,61.07,-38.37,178.3,Tolaga Bay Motel
